SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
DM-BLT2,Benzocaine/Lidocaine/Tetracaine (20%/6%/4%),Dermatology,Cream,20%/6%/4%,30g Jar,,$45.00,,Triple topical anesthetic (20/6/4%) for procedural numbing.
DM-BLT3,Benzocaine/Lidocaine/Tetracaine (20%/8%/6%),Dermatology,Cream,20%/8%/6%,30g Jar,,$45.00,,Triple topical anesthetic (20/8/6%) for dermatologic procedures.
DM-CAN,CantharidinPlus,Dermatology,Cream,Canthar. 1%/Sal. Acid 30%/Podoph. 5%,10mL,,$45.00,,Compounded cantharidin/salicylic acid/podophyllum for warts and molluscum.
DM-HQ10,Hydroquinone 10%,Dermatology,Cream,10%,30g Jar,,$45.00,,High-potency skin lightening cream targeting hyperpigmentation.
DM-HQ4A,Hydroquinone 4%/Ascorbic Acid 2%,Dermatology,Cream,4%/2%,30g Jar,,$45.00,,Lightening + antioxidant combination for moderate pigmentation correction.
DM-HQ4R,Hydroquinone 4%/Retinoic Acid 0.05%/Hydrocortisone 2%,Dermatology,Cream,4%/0.05%/2%,30g Jar,,$45.00,,Classic triple-combination cream for melasma.
DM-HQ5A,Hydroquinone 5%/Retinoic Acid 0.1%/Hydrocortisone 2.5%/Ascorbic Acid 2%,Dermatology,Cream,5%/0.1%/2.5%/2%,20g Tube,,$45.00,,Quad-combination brightening cream for melasma with vitamin C.
DM-HQ5B,Hydroquinone 5%/Retinoic Acid 0.05%/Hydrocortisone 2.5%/Ascorbic Acid 2%,Dermatology,Cream,5%/0.05%/2.5%/2%,20g Tube,,$45.00,,Quad-combination brightening cream (low retinoid) with vitamin C.
DM-HQ5D,Hydroquinone 5%/Retinoic Acid 0.1%/Dexamethasone 0.1%,Dermatology,Cream,5%/0.1%/0.1%,30g Jar,,$45.00,,Triple-combination melasma cream with dexamethasone anti-inflammatory.
DM-HQ6,Hydroquinone 6%,Dermatology,Cream,6%,30g Jar,,$45.00,,Intermediate-strength lightening cream for moderate hyperpigmentation.
DM-HQ6K,Hydroquinone 6%/Retinoic Acid 0.5%/Kojic Acid 4%,Dermatology,Cream,6%/0.5%/4%,30g Jar,,$45.00,,Triple-action brightening with high retinoid and kojic acid.
DM-HQ6A,Hydroquinone 6%/Ascorbic Acid 2%/Hydrocortisone 2.5%,Dermatology,Cream,6%/2%/2.5%,30g Jar,,$45.00,,Lightening cream with vitamin C and anti-inflammatory cortisone.
DM-HQ6R,Hydroquinone 6%/Retinoic Acid 0.25%/Kojic Acid 4%/Hydrocortisone 0.05%,Dermatology,Cream,6%/0.25%/4%/0.05%,20g Tube,,$45.00,,Quad-combination moderate-strength depigmentation cream.
DM-HQ8,Hydroquinone 8%,Dermatology,Cream,8%,30g Jar,,$45.00,,High-strength depigmentation for resistant melasma and hyperpigmentation.
DM-HQ8K,Hydroquinone 8%/Retinoic Acid 0.025%/Kojic Acid 4%/Hydrocortisone 0.05%,Dermatology,Cream,8%/0.025%/4%/0.05%,20g Tube,,$45.00,,High-strength HQ with mild retinoid and kojic acid.
DM-HQ8A,Hydroquinone 8%/Retinoic Acid 0.05%/Hydrocortisone 2.5%,Dermatology,Cream,8%/0.05%/2.5%,20g Tube,,$45.00,,High-strength triple combination for stubborn pigmentation.
DM-HQ8B,Hydroquinone 8%/Retinoic Acid 0.1%/Hydrocortisone 0.1%,Dermatology,Cream,8%/0.1%/0.1%,30g Tube,,$45.00,,High-strength HQ with moderate retinoid and light cortisone.
DM-HQ8C,Hydroquinone 8%/Retinoic Acid 0.1%/Kojic Acid 4%/Azelaic Acid 15%/Hydrocortisone 1%,Dermatology,Cream,8%/0.1%/4%/15%/1%,30g Jar,,$45.00,,Premium 5-agent brightening formula for severe hyperpigmentation.
DM-KAH,Kojic Acid 5%/Ascorbic Acid 2%/Hyaluronic 0.5%,Dermatology,Cream,5%/2%/0.5%,30g Jar,,$45.00,,"Natural brightening stack with kojic acid, vitamin C, and hyaluronic acid."
DM-LPP,Lidocaine/Prilocaine/Phenylephrine (23%/10%/0.5%),Dermatology,Cream,23%/10%/0.5%,30g Jar,,$45.00,,Anesthetic with vasoconstrictor for extended and enhanced numbing.
DM-LTC,Lidocaine/Tetracaine (23%/7%),Dermatology,Cream,23%/7%,30g Jar,,$45.00,,High-potency topical anesthetic for laser and aesthetic procedures.
DM-LTP,Lidocaine/Tetracaine/Prilocaine (23%/7%/2%),Dermatology,Cream,23%/7%/2%,30g Jar,,$45.00,,Triple anesthetic for superior numbing in cosmetic procedures.
DM-RA1,Retinoic Acid 0.05%/Hyaluronic Acid 0.1%/Ascorbic Acid 2%,Dermatology,Cream,0.05%/0.1%/2%,30g Jar,,$45.00,,Anti-aging retinoid cream with hydration and antioxidant support.
DM-RA2,Retinoic Acid 0.05%/Hyaluronic Acid 0.2%/Ascorbic Acid 2%,Dermatology,Cream,0.05%/0.2%/2%,30g Jar,,$45.00,,Anti-aging retinoid cream with higher hyaluronic acid concentration.
DM-RA3,Retinoic Acid 0.05%/Hyaluronic Acid 0.1%,Dermatology,Cream,0.05%/0.1%,30g Jar,,$45.00,,Hydrating retinoid cream for photoaging and skin renewal.
DM-RA4,Retinoic Acid 0.05%/Hyaluronic Acid 0.2%,Dermatology,Cream,0.05%/0.2%,30g Jar,,$45.00,,Retinoid with elevated hyaluronic acid for intensive skin hydration.
DM-RA5,Retinoic Acid 0.1%/Clindamycin 2%,Dermatology,Cream,0.1%/2%,30g Jar,,$45.00,,Retinoid + antibiotic combination targeting acne and cell turnover.
DM-RA6,Retinoic Acid 0.1%/Hyaluronic Acid 0.5%,Dermatology,Cream,0.1%/0.5%,30g Jar,,$45.00,,High-potency retinoid with intensive hyaluronic acid hydration.
